states,x,y
Andhra Pradesh,-65,-207
Arunachal Pradesh,313,144
Assam,256,83
Bihar,87,66
Chhattisgarh,-20,-57
Goa,-214,-215
Gujarat,-283,-8
Haryana,-162,166
Himachal Pradesh,-134,254
Jharkhand,71,11
Karnataka,-189,-244
Kerala,-156,-340
Madhya Pradesh,-116,-4
Maharashtra,-185,-97
Manipur,298,33
Meghalaya,203,55
Mizoram,265,-18
Nagaland,326,78
Odisha,71,-68
Punjab,-191,210
Rajasthan,-263,96
Sikkim,156,132
Tamil Nadu,-82,-325
Telangana,-100,-146
Tripura,215,11
Uttar Pradesh,-65,114
Uttarakhand,-65,201
West Bengal,155,-19